2024-2025 Crypto Long Hold Stats;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Name;BTC;ETH;SAND;GRT;PEPE;ADA;ARB;MATIC;SOLU;CHAINLINK;ATOM;ANKR;XRP;;
PRICE 7.1.24;44220;2242;0.49;0.168;0.00000114;0.5126;;0.8269;93.54;¨13.45;9.723;0.02497;0.5645;;
ATH;68789;4891;8.48;2.8807;0.0000439;3.10;;¨2.923;259.9;53;44.8;0.2166;1.966;;
UP%;55 %;113 %;1000 %;1160 %;264 %;396 %;;200 %;177 %;294 %;363 %;623 %;247 %;;
X;1.5;2,13x;11;12,6x;3,6x;4.9x;;3x;2.7x;3.9x;4.6x;7.2x;3.4x;;
;;;;;(MEEMI);;;;;;;;;;
;;;;;;;;;;;;;;;
Name;SHIB;HBAR;Polkabot;Quant;LRC;ENJ;XRP;ALGO;FIL;GALA;;;ATH = Korkein kohta tähän mennessä;;
PRICE 7.1.24;0.00000926;0.0772;7.10;103.68;0.2419;0.3003;0.5633;0.1840;5.768;0.0255;;;UP% = Nousu prosentti nykyhetkestä ATH;;
ATH;0.00008752;0.576;55.08;428.45;3.85;4.845;1.9669;3.4400;430;0.8412;;;X = Kerroin (desimaali pyöristetty alaspäin);;
UP%;864 %;642 %;680 %;277.33%;1530 %;1515 %;247 %;1830 %;8140 %;3200 %;;;;;
 X ;9..6x;7.4x;7.8x;3.7x;16.3x;16.1x;3.4x;19.3x;82.4x;33x;;;;;
;(MEEMI);;;;;;;"(Huom: ATH
oli lähtöpiste)
";"(Huom: Viitteitä 
pyramidi-
huijaksesta";;;;;;
"Väitetään että 2024 alusta 2025 puolelle kaikkien cryptojen (hyödyllisten),
lukuun ottamatta huijauksien ja meemien pitäis nousta uuten korkeimpaan pisteesesen";;;;;;Itse luotan eniten AI Tokeneihin koska niillä on oikeesti hypeä ja luvattu käyttötarkoitus;;;;;;;;;
;;;;;;;;;;;;;;;
Jokaisen kolikon kohdalla PITÄÄ tehdä oma taustatutkimus eli pelkät luvut ei riitä;;;;;;;;;;;;;;;
