Coin;Date & Time (of the trade, not the day you tested);Direction DON'T WRITE HERE;Entry;Stop Loss;Exit;Returns DON'T WRITE HERE;Win / Loss DON'T WIRTE HERE;Total R;Avg. R;;;;;;;;;;;;;;;;;
ETH;10.12.23 19:50;Short; $2 346,28 ; $2 351,42 ; $2 336,02 ;1,996108949;Win;12,99755691;0,129975569;;;;;;;;;;;;;;;;;
ETH;10.12.23 21:00;Short; $2 316,95 ; $2 336,22 ; $2 278,45 ;1,997924235;Win;;;;;;;;;;;;;;;;;;;
ETH;11.12.23 11:10;; $2 204,92 ; $2 215,11 ; $2 215,11 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;11.12.23 13:20;Short; $2 178,61 ; $2 195,54 ; $2 195,54 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;11.12.23 18:40;Long; $2 226,81 ; $2 221,97 ; $2 236,47 ;1,995867769;Win;;;;;;;;;;;;;;;;;;;
ETH;12.12.23 9:55;Short; $2 206,52 ; $2 220,81 ; $2 177,89 ;2,00349895;Win;;;;;;;;;;;;;;;;;;;
ETH;12.12.23 18:50;Long; $2 203,76 ; $2 201,57 ; $2 201,57 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;12.12.23 21:10;Short; $2 179,23 ; $2 185,22 ; $2 167,24 ;2,001669449;Win;;;;;;;;;;;;;;;;;;;
ETH;13.12.23 10:00;Long; $2 207,97 ; $2 188,37 ; $2 247,17 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;13.12.23 16:05;Long; $2 258,77 ; $2 256,50 ; $2 263,31 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;13.12.23 16:50;Long; $2 265,25 ; $2 252,98 ; $2 252,98 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;13.12.23 21:15;Long; $2 258,80 ; $2 253,44 ; $2 253,44 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;14.12.23 12:25;Long; $2 294,42 ; $2 290,40 ; $2 302,47 ;2,002487562;Win;;;;;;;;;;;;;;;;;;;
ETH;14.12.23 15:25;Short; $2 284,62 ; $2 286,20 ; $2 281,46 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
