;One Big Goal;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;The below is a TEMPLATE ONLY. Delete the text sections and replace it with your text for your own goals.;;;;;;;;;;;;;;;;;;;;;;;;;;
;My Big Goal is to have time and financial freedom;;;;;;;;;;;;;;;;;;;;;;;;;;
;YEAR 1;;;;YEAR 2;;;YEAR 3;;;;;;;;;;;;;;;;;;;
;S;"Year 1: Learning, building, SAVING
1. Learn copywriting and find clients
2. Learn Trading on the side
3. Save atleast 5k  ";;;S;"Year 2: Complete Studies, Get bigger client, trade 
Complete studies and find job as web developer

           Studying --> programming
           Copywriting
           Trading";;S;"Year 3: Compounding

Increase Net worth to ? $1,000,000

By this time, Copywriting skills and Trading skills will be dialed in  because of all the hard work put in the last 2 years.";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M;"Monthly
Update spreadsheet with amount put into savings";;;M;"Monthly/Weekly
Update spreadsheet with amount put into savings
Update spreadsheet with amount into Trading account";;M;Income, expenses, portfolio, etc will be tracked, and monitored;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A;"Studying (study grant): Income for Bills, necessary expenses
Learn Copywriting: Get testimonials and possible income for saving 
Trading: exp.";;;A;"Programming: Comission for saving + increasing Trading account
Copywriting: Comission for saving + increasing Trading account
Trading: Trade part time to increase Exp. + Trading account";;A;"I will be top tier in copywriting
I will be a machine when it comes to trading";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R;;;;R;My priorities now will be compound savings, and continue to learn and advance my trading knowledge and discipline;;R;Time and financial freedom will be achieved and I will continue to grow;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T;"
Will have ? 15 000€ in savings";;;T;By end of year 2 I will have increased my savings from ? 15 000€ to ? 100 000€;;T;By the end of year 3 I will be time and financially free.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;MORNING PLAN;;;;WEEKLY FOCUS week 1 12/25/23-12/31/23;;Pts;MONTHLY FOCUS;;;;;;;;;;;;;;;;;;
;;DAY ;;;#VALUE!;Finish basic copywriting lessons (2pts);;;Spend less money by monitoring what comes out of my account;;;;;;;;;;;;;;;;;;
;;;;;;Pay off another credit card (3 pts);;;;;;;;;;;;;;;;;;;;;
;;Wake up ;;;TRUE;Work extra hours this week (2 pts);;;POSITIVE MASCULINITY CHECKLIST;;;;;;;;;;;;;;;;;;
;;Positive affirmations;;;TRUE;Total;;0;DAY;;;;;;;;;;;;;;;;;;
;;Hydrate/Train;;;FALSE;REWARDS;;Pts;;;;;;;;;;;;;;;;;;;
;;Post morning plan in #White-Belt-Daily;;;TRUE;Move on to 4th week;;7;#VALUE!;;;;;;;;;;;;;;;;;;
;;Complete Bootcamp Day ;;#VALUE!;FALSE; Get heavy bag;;10;;;;;;;;;;;;;;;;;;;
;;Listen to #Daily-Lessons in Daily updates;;;FALSE;;;;NO P/M ;FALSE;;;;;;;;;;;;;;;;;
;;Feed/Train Molly ;;;TRUE;!!TIP!!;;;NO SOCIAL MEDIA;FALSE;;;;;;;;;;;;;;;;;
;;Update PMC in #Daily-Check-In ;;#VALUE!;FALSE;To go 10x faster, cut out cheap dopamine (YT, Sugar, Video Games) ;;;NO YOUTUBE;FALSE;;;;;;;;;;;;;;;;;
;;Pay off 1 credit card;;;FALSE;;;;NO PROCESSED FOODS;FALSE;;;;;;;;;;;;;;;;;
;;put 200 in savings;;;FALSE;!!TIP!!;;;TRAIN;FALSE;;;;;;;;;;;;;;;;;
;;;;;FALSE;Become accountable to others (using your ego in a healthy way);;;;;;;;;;;;;;;;;;;;;
;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;
;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;
;;;;;;!!TIP!!;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;stop and COMMAND your brain to delete ANY negative words you speak or hear and replace them with positivity & gratitude.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;!!TIP!!;;;;;;;;;;;;;;;;;;;;;
;;;;;;When Im at work, I need to work and focus on work. No chess during work. No going online at work. be effective and efficient. ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
