Week:;1;;Note:  .;This sheet is for you to mark down your goals with particular focus in the week.;;;;;;;;;;;;;;;;;
;;;;To make it easier, split those big goals into smaller ones, so you know what exacly to do. ;;;;;;;;;;;;;;;;;
;;;;Rewarding yourself is important! Give yourself one depending on ;;;;;;;;;;;;;;;;;
;;;;which mark you got for each goal (from smaller to bigger of course)!;;;;;;;;;;;;;;;;;
Weekly Focus;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
This Weeks Focus:;;;;Reward;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Copywriting basics;;;;;;;;;;;;;;;;;;;;;
;;;;6+;;;;;;;;;;;;;;;;;
Break the goal down into real tasks;;Score ;;7+;;;;;;;;;;;;;;;;;
Finish basics of copywriting by 29.12 19.00 ;;2;;8+;;;;;;;;;;;;;;;;;
5 intense gym sessions (including cardio);;2;;9+;;;;;;;;;;;;;;;;;
Get first client;;0;;10+;Buy new clothes;;;;;;;;;;;;;;;;
Daily Bootcamp + watch atleast 5 trading lessons (w/ notes);;2;;12;Movie + order food;;;;;;;;;;;;;;;;
Meditate 10min in the morning daily;;1;;;;;;;;;;;;;;;;;;;
Watch daily lessons and streams;;1;;"8/12 so little under the 7/10... Had improvement in discipline and work ethic but messed many evenings mainly by letting negative thoughts affect
my thinking and acting on excuses. Need to be more mindfull and stay in the present and not think many days ahead and instead focus on the 
current task. Find those triggering thoughts and question them before acting on them and let them spiral down. Next week WILL be better.
I need to keep the weekly goals in my mind and remember why I am doing the work in the first place. ";;;;;;;;;;;;;;;;;
No fap/ No Porn;;0;;;;;;;;;;;;;;;;;;;
Total;;8;;"Didn't get my first client yet. I will now focus on my copywriting skills and get more confident in it before I can get a client because the ones i 
tried to contact, smelled my lack of knowledge on the subject. ";;;;;;;;;;;;;;;;;
;;;;"Bad habits have been pretty much completely eliminated from my life except the most shameful and disgusting one: P/M. Throught OODA-looping
I have realised that I've used it as an escape from reality, from the problems and it doesn't do any good. It makes my relationships worse, affect my
attention span and ability to endure pains of life that are inevitable. When those bad thoughts come and focus on being the observer of thoughts and
let those excuses come and go and keep my big goal in mind. ";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
