Week:;3;;Note:  .;This sheet is for you to mark down your goals with particular focus in the week.;;;;;;;;;;;;;;;;;
;;;;To make it easier, split those big goals into smaller ones, so you know what exacly to do. ;;;;;;;;;;;;;;;;;
;;;;Rewarding yourself is important! Give yourself one depending on ;;;;;;;;;;;;;;;;;
;;;;which mark you got for each goal (from smaller to bigger of course)!;;;;;;;;;;;;;;;;;
Weekly Focus;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
This Weeks Focus:;;;;Reward;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Backtesting;;;;;;;;;;;;;;;;;;;;;
;;;;6+;;;;;;;;;;;;;;;;;
Break the goal down into real tasks;;Score ;;7+;Buy new clothes;;;;;;;;;;;;;;;;
30min daily Copy analyse;;0/1;;8+;;;;;;;;;;;;;;;;;
5 intense gym sessions (including cardio);;2.2;;9+;See Friends;;;;;;;;;;;;;;;;
100 Backtest;;2.2;;10+;Movie + Cheat Meal;;;;;;;;;;;;;;;;
Do all school work on time;;2.2;;;;;;;;;;;;;;;;;;;
Watch daily lessons and trade of the day;;1.1;;;;;;;;;;;;;;;;;;;
No P/M;;0/2;;;;;;;;;;;;;;;;;;;
Total;;7.10;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"7/10. Everyday I keep crushing it until the night comes and I start to make excuses as the daily todo list has been completed or is almost completed.
 I have relapsed to fapping many times this week which I hate myself for but it's my own fault for creating this entitlement for orgasm. It's the only part
 of my life which I am not in full control which is affecting negatively every other part and keeping me down. On Monday evening I will focus my time to
 creating a ""war plan"" and make it clear what to do and thing about in every triggering situation and make a rewarding system to keep me going (Goals
 Crusher rewards haven't worked bc I don't care about them enough).";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
