Week:;3;;Note:  .;This sheet is for you to mark down your goals with particular focus in the week.;;;;;;;;;;;;;;;;;
;;;;To make it easier, split those big goals into smaller ones, so you know what exacly to do. ;;;;;;;;;;;;;;;;;
;;;;Rewarding yourself is important! Give yourself one depending on ;;;;;;;;;;;;;;;;;
;;;;which mark you got for each goal (from smaller to bigger of course)!;;;;;;;;;;;;;;;;;
Weekly Focus;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
This Weeks Focus:;;;;Reward;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"Stopping last bad habits
& Research and buy tokens to hold for 2024";;;;;;;;;;;;;;;;;;;;;
;;;;6+;;;;;;;;;;;;;;;;;
Break the goal down into real tasks;;Score ;;7+;;;;;;;;;;;;;;;;;
Practice copywriting for atleast 1,5h + 30min analyze daily;;2;;8+;Buy new clothes;;;;;;;;;;;;;;;;
5 intense gym sessions (including cardio);;2;;9+;See Friends;;;;;;;;;;;;;;;;
Attend online classes and do assigments before TRW;;2;;10+;Cheat meal + Documentary;;;;;;;;;;;;;;;;
Daily Bootcamp + atleast 1,5 hours of Learning Trading (notes);;1;;;;;;;;;;;;;;;;;;;
Watch daily lessons and streams;;1;;;;;;;;;;;;;;;;;;;
No Porn;;2;;;;;;;;;;;;;;;;;;;
Total;;10;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
