Week:;4;;Note:  .;This sheet is for you to mark down your goals with particular focus in the week.;;;;;;;;;;;;;;;;;
;;;;To make it easier, split those big goals into smaller ones, so you know what exacly to do. ;;;;;;;;;;;;;;;;;
;;;;Rewarding yourself is important! Give yourself one depending on ;;;;;;;;;;;;;;;;;
;;;;which mark you got for each goal (from smaller to bigger of course)!;;;;;;;;;;;;;;;;;
Weekly Focus;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
This Weeks Focus:;;;;Reward;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Practicing Copywriting;;;;;;;;;;;;;;;;;;;;;
;;;;6+;;;;;;;;;;;;;;;;;
Break the goal down into real tasks;;Score ;;7+;;;;;;;;;;;;;;;;;
Daily Copy analyse 20min;;1;;8+;See Friends;;;;;;;;;;;;;;;;
5 intense gym sessions (including cardio);;2;;9+;;;;;;;;;;;;;;;;;
50 Backtest;;1;;10+;Cheatmeal + Movie Aka;;;;;;;;;;;;;;;;
Do all school work on time;;2;;;;;;;;;;;;;;;;;;;
Daily Meditation ;;1;;;;;;;;;;;;;;;;;;;
atleast 1 G work session of copywriting per day;;1;;;;;;;;;;;;;;;;;;;
No P/M;;2;;;;;;;;;;;;;;;;;;;
Total;;10;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
